iter	Passed	Remaining
0	172	172646
1	200	100141
2	229	76175
3	253	63165
4	278	55464
5	304	50448
6	330	46824
7	354	43997
8	380	41940
9	407	40354
10	435	39196
11	466	38405
12	495	37602
13	526	37052
14	557	36621
15	591	36394
16	623	36063
17	656	35812
18	688	35559
19	721	35364
20	753	35111
21	783	34844
22	817	34720
23	845	34382
24	871	33972
25	897	33626
26	922	33234
27	945	32827
28	970	32500
29	995	32188
30	1016	31767
31	1039	31440
32	1062	31133
33	1086	30855
34	1108	30565
35	1129	30241
36	1152	29999
37	1174	29745
38	1196	29488
39	1219	29271
40	1242	29067
41	1264	28846
42	1287	28653
43	1313	28535
44	1337	28388
45	1362	28252
46	1385	28092
47	1409	27954
48	1433	27824
49	1456	27665
50	1477	27497
51	1500	27346
52	1521	27181
53	1543	27038
54	1565	26902
55	1589	26795
56	1612	26682
57	1637	26599
58	1662	26518
59	1687	26439
60	1712	26363
61	1737	26292
62	1763	26225
63	1785	26106
64	1809	26033
65	1835	25977
66	1862	25941
67	1898	26016
68	1928	26023
69	1952	25939
70	1978	25891
71	2009	25899
72	2039	25901
73	2068	25880
74	2091	25801
75	2118	25760
76	2146	25729
77	2176	25729
78	2203	25684
79	2225	25593
80	2251	25549
81	2276	25482
82	2303	25450
83	2326	25375
84	2350	25297
85	2375	25242
86	2400	25190
87	2428	25166
88	2452	25106
89	2483	25107
90	2509	25064
91	2535	25022
92	2562	24989
93	2586	24932
94	2610	24871
95	2636	24826
96	2656	24734
97	2680	24675
98	2705	24625
99	2731	24586
100	2757	24542
101	2784	24510
102	2812	24494
103	2838	24456
104	2864	24420
105	2890	24375
106	2914	24327
107	2939	24274
108	2965	24238
109	2986	24167
110	3011	24120
111	3035	24067
112	3059	24017
113	3082	23956
114	3105	23895
115	3129	23846
116	3152	23795
117	3174	23728
118	3199	23685
119	3222	23632
120	3244	23566
121	3266	23510
122	3289	23455
123	3313	23410
124	3337	23363
125	3360	23309
126	3382	23251
127	3404	23191
128	3428	23150
129	3452	23101
130	3473	23041
131	3496	22993
132	3521	22953
133	3543	22902
134	3565	22846
135	3587	22794
136	3609	22738
137	3634	22705
138	3660	22672
139	3684	22633
140	3708	22594
141	3736	22576
142	3759	22531
143	3781	22478
144	3804	22431
145	3824	22372
146	3848	22330
147	3870	22278
148	3892	22229
149	3914	22181
150	3937	22136
151	3960	22093
152	3981	22041
153	4003	21994
154	4028	21959
155	4054	21936
156	4079	21906
157	4104	21872
158	4126	21823
159	4150	21788
160	4171	21739
161	4195	21700
162	4221	21679
163	4245	21640
164	4268	21601
165	4290	21556
166	4310	21499
167	4332	21458
168	4355	21415
